(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
(1,2) (1,2.1) (1,2.05)
